,WorkerId,Language,Word,URL,Gender,Native Language,Years Spoken,Number of Languages Spoken,Pronunciations
28,A2BLFFZ0VK2WNA,English,soldier,https://vocaroo.com/i/s0iwavTUMAET,1,E,O,2,"('soldier', 'solidier', 'soldier')"
29,A2BLFFZ0VK2WNA,English,plural,https://vocaroo.com/i/s01rvlvUihK5,1,E,O,2,"('plural', 'plural', 'plural')"
30,A3Q7NCO7LXEABB,English,it,https://vocaroo.com/i/s0v6YB2KxfD6,2,E,O,2,"('it', ""it's"", 'dut')"
31,A3Q7NCO7LXEABB,English,place,https://vocaroo.com/i/s0MEA9VII21N,2,E,O,2,"('place', 'place', 'place')"
32,A3Q7NCO7LXEABB,English,country,https://vocaroo.com/i/s0nesfQOgMS9,2,E,O,2,"('country', 'country', 'country')"
33,A3Q7NCO7LXEABB,English,young,https://vocaroo.com/i/s1RBycmujHUZ,2,E,O,2,"('young', 'young', 'young')"
34,A3Q7NCO7LXEABB,English,fine,https://vocaroo.com/i/s15wVMRu4r2y,2,E,O,2,"('fine', 'trying', 'fine')"
35,A3Q7NCO7LXEABB,English,yet,https://vocaroo.com/i/s0Ohj2CwIZeH,2,E,O,2,"('yet', 'yet', 'yet')"
37,A3Q7NCO7LXEABB,English,melody,https://vocaroo.com/i/s0dpZLp1RMpC,2,E,O,2,"('melody', 'melody', 'melody')"
38,A3Q7NCO7LXEABB,English,operate,https://vocaroo.com/i/s0rgvcbpeUAP,2,E,O,2,"('operate', 'operate', 'operate')"
39,A3Q7NCO7LXEABB,English,claim,https://vocaroo.com/i/s1XsSbk0sV5v,2,E,O,2,"('claim', 'claim', 'claim')"
42,A1XZ4JE7HEAT29,English,found,https://vocaroo.com/i/s1ENqKbOPsQf,2,E,O,1,"('found', 'pound')"
44,A1XZ4JE7HEAT29,English,certain,https://vocaroo.com/i/s1PoxflgqX2U,2,E,O,1,"('certain', 'segment')"
46,A1XZ4JE7HEAT29,English,village,https://vocaroo.com/i/s0F7tKWaoSl0,2,E,O,1,"('village', 'knowledge')"
47,A1XZ4JE7HEAT29,English,trip,https://vocaroo.com/i/s06k0TwXWjuC,2,E,O,1,"('trip', 'check')"
48,A1XZ4JE7HEAT29,English,guess,https://vocaroo.com/i/s0lGtlFxNKke,2,E,O,1,"('guest', 'gas')"
49,A1XZ4JE7HEAT29,English,continent,https://vocaroo.com/i/s1fAbRpmHm3Z,2,E,O,1,"('continent', 'continent')"
50,AJY5G987IRT25,English,that,https://vocaroo.com/i/s1EvpVWQ2tfX,1,O,O,O,"('that', 'lock', 'rock')"
51,AJY5G987IRT25,English,live,https://vocaroo.com/i/s1BxSlP2rb3o,1,O,O,O,"('live', 'lies', 'nice')"
52,AJY5G987IRT25,English,answer,https://vocaroo.com/i/s1ZeLMKkotHa,1,O,O,O,"('answer', 'answer', 'answer')"
53,AJY5G987IRT25,English,above,https://vocaroo.com/i/s1Wbs3HxfBLX,1,O,O,O,"('above', 'above', 'above')"
54,AJY5G987IRT25,English,fly,https://vocaroo.com/i/s1TxxgKB4UVd,1,O,O,O,"('fly', 'fly', 'slide')"
55,AJY5G987IRT25,English,drop,https://vocaroo.com/i/s1AYZ63r1ubW,1,O,O,O,"('drop', 'fly', 'drop')"
56,AJY5G987IRT25,English,meet,https://vocaroo.com/i/s14Tsp8wXfyM,1,O,O,O,"('meet', 'meet', 'met')"
57,AJY5G987IRT25,English,office,https://vocaroo.com/i/s057Kdkz1b89,1,O,O,O,"('office', 'office', 'office')"
58,AJY5G987IRT25,English,necessary,https://vocaroo.com/i/s1fWM3YO3GQB,1,O,O,O,"('necessary', 'necessary', 'necessary')"
59,AJY5G987IRT25,English,oxygen,https://vocaroo.com/i/s1ICjohV6lAb,1,O,O,O,"('oxygen', 'oxygen', 'oxygen')"
60,A3MBRQO3XAVTIV,English,was,https://vocaroo.com/i/s1PwN1WxMqbk,2,E,O,1,"('was', 'was', 'was')"
61,A3MBRQO3XAVTIV,English,after,https://vocaroo.com/i/s1bD0SpwZwwv,2,E,O,1,"('after', 'after', 'after')"
62,A3MBRQO3XAVTIV,English,grow,https://vocaroo.com/i/s0z1LymuTyPV,2,E,O,1,"('grow', 'grow', 'crawl')"
63,A3MBRQO3XAVTIV,English,red,https://vocaroo.com/i/s0NrnFP7G3ta,2,E,O,1,"('red', 'red', 'red')"
64,A3MBRQO3XAVTIV,English,lead,https://vocaroo.com/i/s0Lshe1rRVHR,2,E,O,1,"('would', 'lead', 'lead')"
65,A3MBRQO3XAVTIV,English,am,https://vocaroo.com/i/s0XdpgBodZOq,2,E,O,1,"('am', 'am', 'em')"
66,A3MBRQO3XAVTIV,English,buy,https://vocaroo.com/i/s05FdHI6YDEx,2,E,O,1,"('five', 'by', 'by')"
67,A3MBRQO3XAVTIV,English,row,https://vocaroo.com/i/s1vUuMrxcgXw,2,E,O,1,"('row', 'row', 'row')"
68,A3MBRQO3XAVTIV,English,wing,https://vocaroo.com/i/s1XVRnZg8KMn,2,E,O,1,"('rain', 'wing', 'wink')"
69,A3MBRQO3XAVTIV,English,death,https://vocaroo.com/i/s0LWPlq02pCn,2,E,O,1,"('duck', 'death', 'death')"
70,A1RTZ45ZXHMXEW,English,for,https://vocaroo.com/i/s1i0GNFtG1Ui,2,E,3,3,"('far', 'freddy', 'four')"
71,A1RTZ45ZXHMXEW,English,back,https://vocaroo.com/i/s1kiYjB6gP7J,2,E,3,3,"('back', 'bag', 'back')"
72,A1RTZ45ZXHMXEW,English,study,https://vocaroo.com/i/s0zVLd1UVRmW,2,E,3,3,"('study', 'steady', 'study')"
73,A1RTZ45ZXHMXEW,English,list,https://vocaroo.com/i/s1Dc6CCSoFFH,2,E,3,3,"('lift', 'mist', 'list')"
74,A1RTZ45ZXHMXEW,English,cry,https://vocaroo.com/i/s0YgC7crs62e,2,E,3,3,"('high', 'cry', 'cry')"
75,A1RTZ45ZXHMXEW,English,present,https://vocaroo.com/i/s0cLzm3ZhC1t,2,E,3,3,"('present', 'present', 'present')"
76,A1RTZ45ZXHMXEW,English,raise,https://vocaroo.com/i/s1lIVQqf89JR,2,E,3,3,"('raise', 'erase', 'race')"
77,A1RTZ45ZXHMXEW,English,mouth,https://vocaroo.com/i/s1QoPQerGJiS,2,E,3,3,"('mouth', 'might', 'mouth')"
78,A1RTZ45ZXHMXEW,English,create,https://vocaroo.com/i/s0JkFIQESh47,2,E,3,3,"('create', 'great', 'create')"
79,A1RTZ45ZXHMXEW,English,pretty,https://vocaroo.com/i/s0tax1xKDyQb,2,E,3,3,"('penny', 'preggy', 'twenty')"
80,A25EY8B3SXJ18J,English,are,https://vocaroo.com/i/s0GZ2fvpZs0u,1,O,O,2,"('art', 'are', 'way')"
81,A25EY8B3SXJ18J,English,only,https://vocaroo.com/i/s08BF9DxiogC,1,O,O,2,"('only', 'only', 'orly')"
82,A25EY8B3SXJ18J,English,learn,https://vocaroo.com/i/s0ZdNvxvwWt6,1,O,O,2,"('low', 'learn', 'leurs')"
83,A25EY8B3SXJ18J,English,feel,https://vocaroo.com/i/s08T3cD4VWGI,1,O,O,2,"('feel', 'fill', 'phill')"
84,A25EY8B3SXJ18J,English,machine,https://vocaroo.com/i/s0bhG6KLVwKz,1,O,O,2,"('machine', 'machine', 'machine')"
85,A25EY8B3SXJ18J,English,dance,https://vocaroo.com/i/s1a8W30ohLnY,1,O,O,2,"('dentist', 'dentist', 'dallas')"
86,A25EY8B3SXJ18J,English,metal,https://vocaroo.com/i/s1TehbkTAtYN,1,O,O,2,"('metal', 'medal', 'merder')"
87,A25EY8B3SXJ18J,English,symbol,https://vocaroo.com/i/s07IEuvdeGgq,1,O,O,2,"('symbol', 'symbol', 'sssemball')"
88,A25EY8B3SXJ18J,English,wash,https://vocaroo.com/i/s1T1AeBmpa9O,1,O,O,2,"('wash', 'wash', 'woosh')"
89,A25EY8B3SXJ18J,English,women,https://vocaroo.com/i/s0C9EIzzoy2a,1,O,O,2,"('warrant', 'woman', 'double')"
90,A3USZGUPBRTYCZ,English,as,https://vocaroo.com/i/s1UB3qUcTWQr,2,E,O,O,"('nan', 'as', 'as')"
91,A3USZGUPBRTYCZ,English,man,https://vocaroo.com/i/s10GzqlAhyRG,2,E,O,O,"('men', 'man', 'man')"
92,A3USZGUPBRTYCZ,English,cover,https://vocaroo.com/i/s1pYurZb5OPw,2,E,O,O,"('cover', 'cover', 'cover')"
93,A3USZGUPBRTYCZ,English,bird,https://vocaroo.com/i/s1npZKQnml0X,2,E,O,O,"('add', 'bird', 'bird')"
94,A3USZGUPBRTYCZ,English,wait,https://vocaroo.com/i/s02Itg0DlsjW,2,E,O,O,"('wait', 'wait', 'wait')"
95,A3USZGUPBRTYCZ,English,position,https://vocaroo.com/i/s1Lzas9tV5zw,2,E,O,O,"('position', 'position', 'position')"
96,A3USZGUPBRTYCZ,English,push,https://vocaroo.com/i/s1koeJF4FPjp,2,E,O,O,"('pause', 'push', 'push')"
97,A3USZGUPBRTYCZ,English,least,https://vocaroo.com/i/s1iy6Ll3D17l,2,E,O,O,"('least', 'list', 'least')"
98,A3USZGUPBRTYCZ,English,rather,https://vocaroo.com/i/s1Zc1PrE0lWL,2,E,O,O,"('weather', 'rather', 'rather')"
99,A3USZGUPBRTYCZ,English,solution,https://vocaroo.com/i/s1vG9aP9dkvi,2,E,O,O,"('solution', 'solution', 'solution')"
100,A8PMQPVGA1CY0,English,I,https://vocaroo.com/i/s1eDa9P31TgH,2,E,O,O,"('eye', 'i', 'eye')"
101,A8PMQPVGA1CY0,English,year,https://vocaroo.com/i/s14DQoQLaWWP,2,E,O,O,"('year', 'year', 'year')"
102,A8PMQPVGA1CY0,English,food,https://vocaroo.com/i/s1euBf8J5J6l,2,E,O,O,"('food', 'food', 'food')"
104,A8PMQPVGA1CY0,English,plan,https://vocaroo.com/i/s117ZiZiAX98,2,E,O,O,"('plan', 'plan', 'plan')"
105,A8PMQPVGA1CY0,English,arm,https://vocaroo.com/i/s03HRZiVEZpE,2,E,O,O,"('arm', 'arm', 'arm')"
106,A8PMQPVGA1CY0,English,seven,https://vocaroo.com/i/s0zRxrMDIw1X,2,E,O,O,"('seven', 'seven', 'seven')"
107,A8PMQPVGA1CY0,English,trouble,https://vocaroo.com/i/s0tq4RIxzifp,2,E,O,O,"('trouble', 'trouble', 'trouble')"
108,A8PMQPVGA1CY0,English,crowd,https://vocaroo.com/i/s0enluR6KM6z,2,E,O,O,"('crowd', 'crowd', 'crowd')"
109,A8PMQPVGA1CY0,English,magnet,https://vocaroo.com/i/s0SLHB8w1y6M,2,E,O,O,"('magnet', 'magnet', 'magnet')"
110,AJY5G987IRT25,English,they,https://vocaroo.com/i/s05Kc7M5jfub,1,O,O,O,"('they', 'day', 'grow')"
114,AJY5G987IRT25,English,star,https://vocaroo.com/i/s1anGfzXDIDa,1,O,O,O,"('star', 'stone', 'star')"
115,AJY5G987IRT25,English,sail,https://vocaroo.com/i/s0B5gZLTCO9K,1,O,O,O,"('same', 'sale', 'sale')"
116,AJY5G987IRT25,English,third,https://vocaroo.com/i/s1NhqKxVpJG8,1,O,O,O,"('clerk', 'third', 'third')"
117,AJY5G987IRT25,English,except,https://vocaroo.com/i/s0JrKk7Qy2hF,1,O,O,O,"('accept', 'except', 'except')"
118,AJY5G987IRT25,English,compare,https://vocaroo.com/i/s1Lqj91lgRW2,1,O,O,O,"('compare', 'container', 'compare')"
120,A2NWLOMYMT5BBS,English,one,https://vocaroo.com/i/s1Yq0yMaugRK,1,E,O,2,"('one', 'one', 'one')"
121,A2NWLOMYMT5BBS,English,me,https://vocaroo.com/i/s1EaeS2K5Qy6,1,E,O,2,"('me', 'me', 'me')"
122,A2NWLOMYMT5BBS,English,keep,https://vocaroo.com/i/s0OaACoJqgk8,1,E,O,2,"('keep', 'keep', 'keep')"
124,A2NWLOMYMT5BBS,English,field,https://vocaroo.com/i/s107XCtR6PGZ,1,E,O,2,"('field', 'field', 'field')"
125,A2NWLOMYMT5BBS,English,vary,https://vocaroo.com/i/s1VR7RZqpsiY,1,E,O,2,"('very', 'vary', 'very')"
126,A2NWLOMYMT5BBS,English,hair,https://vocaroo.com/i/s0iwi7VpPNnv,1,E,O,2,"('hair', 'care', 'hair')"
128,A2NWLOMYMT5BBS,English,bell,https://vocaroo.com/i/s1Wsa028VEkS,1,E,O,2,"('bell', 'bell', 'bell')"
129,A2NWLOMYMT5BBS,English,suffix,https://vocaroo.com/i/s0MCzxOb9mYL,1,E,O,2,"('suffix', 'suffix', 'suffix')"
130,A3MBRQO3XAVTIV,English,have,https://vocaroo.com/i/s1vR09ZnUsle,2,E,O,1,"('have', 'have', 'hair')"
131,A3MBRQO3XAVTIV,English,give,https://vocaroo.com/i/s08kGzf9OqWC,2,E,O,1,"('give', 'give', 'give')"
132,A3MBRQO3XAVTIV,English,eye,https://vocaroo.com/i/s1VIvOZhriLC,2,E,O,1,"('eye', 'eye', 'eye')"
133,A3MBRQO3XAVTIV,English,leave,https://vocaroo.com/i/s0so7kvhLRP2,2,E,O,1,"('leave', 'leave', 'leave')"
134,A3MBRQO3XAVTIV,English,rest,https://vocaroo.com/i/s0p8XBTLEer0,2,E,O,1,"('rest', 'rest', 'rest')"
135,A3MBRQO3XAVTIV,English,settle,https://vocaroo.com/i/s0UD60xBQmtS,2,E,O,1,"('settle', 'settle', 'settle')"
136,A3MBRQO3XAVTIV,English,describe,https://vocaroo.com/i/s17kyV4Nus8c,2,E,O,1,"('describe', 'describe', 'describe')"
137,A3MBRQO3XAVTIV,English,join,https://vocaroo.com/i/s0Dw0m08wvob,2,E,O,1,"('join', 'join', 'join')"
138,A3MBRQO3XAVTIV,English,depend,https://vocaroo.com/i/s0tEjCZYzpM1,2,E,O,1,"('defend', 'depend', 'depend')"
139,A3MBRQO3XAVTIV,English,especially,https://vocaroo.com/i/s0uSpY7DzilO,2,E,O,1,"('especially', 'especially', 'especially')"
140,A1YS4LVERZO9T1,English,this,https://vocaroo.com/i/s1xPxT4Wq3lI,1,E,O,1,"('invest', 'this', 'this')"
141,A1YS4LVERZO9T1,English,our,https://vocaroo.com/i/s1fz63vzx1GN,1,E,O,1,"('maler', 'power', 'hour')"
142,A1YS4LVERZO9T1,English,never,https://vocaroo.com/i/s0zz9tZ8lMno,1,E,O,1,"('never', 'never', 'never')"
143,A1YS4LVERZO9T1,English,song,https://vocaroo.com/i/s1c6gbz7YZD5,1,E,O,1,"('song', 'song', 'song')"
144,A1YS4LVERZO9T1,English,correct,https://vocaroo.com/i/s0XeQWVBE9Q8,1,E,O,1,"('correct', 'correct', 'correct')"
145,A1YS4LVERZO9T1,English,speak,https://vocaroo.com/i/s0CKL4R2eSjB,1,E,O,1,"('speak', 'speak', 'speak', 'speak', 'speak', 'speak')"
146,A1YS4LVERZO9T1,English,cook,https://vocaroo.com/i/s0CKL4R2eSjB,1,E,O,1,"('speak', 'speak', 'speak', 'speak', 'speak', 'speak')"
147,A1YS4LVERZO9T1,English,suggest,https://vocaroo.com/i/s0ylgBBTbrPs,1,E,O,1,"('suggest', 'suggest', 'suggest')"
148,A1YS4LVERZO9T1,English,meat,https://vocaroo.com/i/s0FSLSsbOawQ,1,E,O,1,"('meat', 'mute', 'meet')"
149,A1YS4LVERZO9T1,English,fig,https://vocaroo.com/i/s1sXL0aBr7Mk,1,E,O,1,"('finger', 'fig', 'fig')"
150,ACNYYHTK64MJY,English,from,https://vocaroo.com/i/s1PdmCGseJal,1,E,O,1,"('from', 'from', 'from')"
151,ACNYYHTK64MJY,English,under,https://vocaroo.com/i/s1vp4Buntygl,1,E,O,1,"('under', 'under', 'under')"
152,ACNYYHTK64MJY,English,last,https://vocaroo.com/i/s1cz6pHF4FN7,1,E,O,1,"('wask', 'last', 'last')"
153,ACNYYHTK64MJY,English,measure,https://vocaroo.com/i/s19H3EWJ8fsM,1,E,O,1,"('measure', 'major', 'measure')"
154,ACNYYHTK64MJY,English,able,https://vocaroo.com/i/s0tDrd8bSt6Z,1,E,O,1,"('able', 'able', 'able')"
155,ACNYYHTK64MJY,English,weight,https://vocaroo.com/i/s1DLB6vzicf6,1,E,O,1,"('weight', 'wait', 'wait')"
156,ACNYYHTK64MJY,English,floor,https://vocaroo.com/i/s0tjAgOwh3u9,1,E,O,1,"('floor', 'four', 'floor')"
157,ACNYYHTK64MJY,English,clean,https://vocaroo.com/i/s15ycRrxwCUU,1,E,O,1,"('clean', 'clean', 'clean')"
158,ACNYYHTK64MJY,English,rub,https://vocaroo.com/i/s1cPLXify68G,1,E,O,1,"('rub', 'rub', 'rub')"
159,ACNYYHTK64MJY,English,afraid,https://vocaroo.com/i/s0qGLBx05VnD,1,E,O,1,"('afraid', 'afraid', 'afraid')"
160,A2BLFFZ0VK2WNA,English,or,https://vocaroo.com/i/s1fygQREDupg,1,E,O,2,"('work', 'ore', 'core')"
161,A2BLFFZ0VK2WNA,English,name,https://vocaroo.com/i/s07jKchK3IaO,1,E,O,2,"('name', 'name', 'name')"
162,A2BLFFZ0VK2WNA,English,let,https://vocaroo.com/i/s16VBvROgmzk,1,E,O,2,"('what', 'wet', 'wet')"
163,A2BLFFZ0VK2WNA,English,door,https://vocaroo.com/i/s0XTUhfML3zy,1,E,O,2,"('toward', 'door', 'door')"
164,A2BLFFZ0VK2WNA,English,pound,https://vocaroo.com/i/s0EuY84OZbOa,1,E,O,2,"('hand', 'pound', 'pound')"
165,A2BLFFZ0VK2WNA,English,general,https://vocaroo.com/i/s0pN1qWhTfHA,1,E,O,2,"('genaro', 'general', 'general')"
166,A2BLFFZ0VK2WNA,English,either,https://vocaroo.com/i/s1BNNvcFheNG,1,E,O,2,"('either', 'either', 'either')"
167,A2BLFFZ0VK2WNA,English,break,https://vocaroo.com/i/s1vsUpz03tLb,1,E,O,2,"('break', 'break', 'break')"
168,A2BLFFZ0VK2WNA,English,tube,https://vocaroo.com/i/s0XhK9MKXsHf,1,E,O,2,"('two', 'tube', 'tobe')"
169,A2BLFFZ0VK2WNA,English,huge,https://vocaroo.com/i/s0TT0HP8Q4kX,1,E,O,2,"('huge', 'huge', 'huge')"
170,A2BLFFZ0VK2WNA,English,by,https://vocaroo.com/i/s0n7u4Z4TOW6,1,E,O,2,"('buy', 'buy')"
171,A2BLFFZ0VK2WNA,English,through,https://vocaroo.com/i/s0W9Le8OvcFN,1,E,O,2,"('through', 'through')"
174,A2BLFFZ0VK2WNA,English,beauty,https://vocaroo.com/i/s1Tm5EWkaO22,1,E,O,2,"('beauty', 'beauty')"
176,A2BLFFZ0VK2WNA,English,burn,https://vocaroo.com/i/s0TbDDOnSCwM,1,E,O,2,"('burn', 'burn')"
177,A2BLFFZ0VK2WNA,English,yard,https://vocaroo.com/i/s1VqImujIy05,1,E,O,2,"('yard', 'yard')"
178,A2BLFFZ0VK2WNA,English,dollar,https://vocaroo.com/i/s1T6ZUhN1wQ0,1,E,O,2,"('dollar', 'dollar')"
180,ABFP9YDVFKGUZ,English,word,https://vocaroo.com/i/s1suKHwf0wwu,1,E,2,2,"('rig', 'word', 'bird')"
181,ABFP9YDVFKGUZ,English,form,https://vocaroo.com/i/s0YsztPt9LgS,1,E,2,2,"('form', 'form', 'form')"
182,ABFP9YDVFKGUZ,English,cross,https://vocaroo.com/i/s0i9P4UAHK6e,1,E,2,2,"('cross', 'cross', 'cross')"
183,ABFP9YDVFKGUZ,English,numeral,https://vocaroo.com/i/s0MqFKt8t1sJ,1,E,2,2,"('numeral', 'weird', 'mirror')"
184,ABFP9YDVFKGUZ,English,stood,https://vocaroo.com/i/s17n6yrnYqI5,1,E,2,2,"('stood', 'stored', 'stirred')"
185,ABFP9YDVFKGUZ,English,pair,https://vocaroo.com/i/s1ItIDgATB7h,1,E,2,2,"('air', 'earth', 'air')"
187,ABFP9YDVFKGUZ,English,bad,https://vocaroo.com/i/s1CKhIAyWHpi,1,E,2,2,"('bad', 'bad', 'bad')"
188,ABFP9YDVFKGUZ,English,fear,https://vocaroo.com/i/s1SwRc97a1gp,1,E,2,2,"('beer', 'beer', 'beer')"
189,ABFP9YDVFKGUZ,English,forward,https://vocaroo.com/i/s1VJixAVlozq,1,E,2,2,"('forward', 'forward', 'forward')"
190,AECVI5JBEL1ZJ,English,what,https://vocaroo.com/i/s1rCVNa9v3VZ,2,E,O,3,"('work', 'wart', 'what')"
191,AECVI5JBEL1ZJ,English,great,https://vocaroo.com/i/s0Jv4hRyh9Mo,2,E,O,3,"('greate', 'great', 'great')"
192,AECVI5JBEL1ZJ,English,hard,https://vocaroo.com/i/s1utI62NkVaM,2,E,O,3,"('hide', 'hard', 'hard')"
193,AECVI5JBEL1ZJ,English,wind,https://vocaroo.com/i/s1qcgrPfxrbt,2,E,O,3,"('rain', 'wind', 'wind')"
195,AECVI5JBEL1ZJ,English,divide,https://vocaroo.com/i/s1CKxXZw6lax,2,E,O,3,"('beguile', 'divide', 'divide')"
196,AECVI5JBEL1ZJ,English,century,https://vocaroo.com/i/s1Bz97e1ATqx,2,E,O,3,"('century', 'century', 'century')"
197,AECVI5JBEL1ZJ,English,oil,https://vocaroo.com/i/s0yDiyic1T6N,2,E,O,3,"('foul', 'oil', 'file')"
198,AECVI5JBEL1ZJ,English,thin,https://vocaroo.com/i/s08eRgLtJztQ,2,E,O,3,"('think', 'ten', 'ten')"
200,A1XZ4JE7HEAT29,English,some,https://vocaroo.com/i/s0UPaYJ8xU44,2,E,O,1,"('some', 'some', 'some')"
201,A1XZ4JE7HEAT29,English,think,https://vocaroo.com/i/s0qXQFdhHbiQ,2,E,O,1,"('think', 'think', 'think')"
202,A1XZ4JE7HEAT29,English,start,https://vocaroo.com/i/s0vPYdDL6xP6,2,E,O,1,"('start', 'start', 'start')"
203,A1XZ4JE7HEAT29,English,question,https://vocaroo.com/i/s0k7xOLRyiFG,2,E,O,1,"('question', 'question', 'question')"
204,A1XZ4JE7HEAT29,English,teach,https://vocaroo.com/i/s1JnuRCIG3TI,2,E,O,1,"('teach', 'teach', 'teach')"
205,A1XZ4JE7HEAT29,English,syllable,https://vocaroo.com/i/s0JB94F5ynTa,2,E,O,1,"('syllable', 'syllable', 'syllable')"
206,A1XZ4JE7HEAT29,English,consider,https://vocaroo.com/i/s0dY92ZAVYRl,2,E,O,1,"('consider', 'consider', 'consider')"
207,A1XZ4JE7HEAT29,English,blood,https://vocaroo.com/i/s0JIonteBpJY,2,E,O,1,"('blood', 'blood', 'blood')"
208,A1XZ4JE7HEAT29,English,triangle,https://vocaroo.com/i/s0iQrNTXWUAb,2,E,O,1,"('triangle', 'triangle', 'triangle')"
209,A1XZ4JE7HEAT29,English,experience,https://vocaroo.com/i/s1btf3mgslNF,2,E,O,1,"('experience', 'experience', 'experience')"
210,A3M7QGHX2Q2SN,English,out,https://vocaroo.com/i/s0UVbplJ9CYV,1,E,O,1,"('out', 'out', 'out')"
211,A3M7QGHX2Q2SN,English,low,https://vocaroo.com/i/s0ZIko2tqJ2M,1,E,O,1,"('low', 'blow', 'low')"
212,A3M7QGHX2Q2SN,English,saw,https://vocaroo.com/i/s0r6WVLj71Vu,1,E,O,1,"('saw', 'saw', 'saw')"
213,A3M7QGHX2Q2SN,English,ship,https://vocaroo.com/i/s0iZ7zfXcHDD,1,E,O,1,"('ship', 'ship', 'sheet')"
214,A3M7QGHX2Q2SN,English,gave,https://vocaroo.com/i/s0ue7giyNN4B,1,E,O,1,"('gave', 'gave', 'gave')"
215,A3M7QGHX2Q2SN,English,pick,https://vocaroo.com/i/s1AvKUKId4uC,1,E,O,1,"('pick', 'pick', 'thick')"
217,A3M7QGHX2Q2SN,English,cent,https://vocaroo.com/i/s0rCEUBNR5o4,1,E,O,1,"('sent', 'sent', 'sent')"
218,A3M7QGHX2Q2SN,English,chief,https://vocaroo.com/i/s0gnCEF794eX,1,E,O,1,"('chief', 'chief', 'cheese')"
219,A3M7QGHX2Q2SN,English,bought,https://vocaroo.com/i/s1q4Ke4Ghyju,1,E,O,1,"('fought', 'thought', 'fought')"
220,AJY5G987IRT25,English,other,https://vocaroo.com/i/s12XoXw6Lu4y,1,O,O,O,"('other', 'other', 'other')"
221,AJY5G987IRT25,English,line,https://vocaroo.com/i/s1VHcSKYlajI,1,O,O,O,"('line', 'line', 'line')"
222,AJY5G987IRT25,English,far,https://vocaroo.com/i/s0yjguxbyhWO,1,O,O,O,"('far', 'farn', 'far')"
